reg_no,name,unit,score
S1008,Rashmi Patel,AI,65.0
S1008,Rashmi Patel,Networking,76.0
S1008,Rashmi Patel,DBMS,85.0
S1008,Rashmi Patel,Python,72.0
S1008,Rashmi Patel,PHP,59.0
S1008,Rashmi Patel,Attendance,76.0
S1008,Rashmi Patel,GPA,2.1
S1009,Emily Wanjiku,Data Mining,78.0
S1009,Emily Wanjiku,AI,56.0
S1009,Emily Wanjiku,Networking,86.0
S1009,Emily Wanjiku,DBMS,97.0
S1009,Emily Wanjiku,Python,84.0
S1009,Emily Wanjiku,PHP,76.0
S1009,Emily Wanjiku,Attendance,68.0
S1009,Emily Wanjiku,GPA,2.9
S1011,Michael Joseph,Data Mining,55.0
S1011,Michael Joseph,AI,76.0
S1011,Michael Joseph,Networking,87.0
S1011,Michael Joseph,DBMS,65.0
S1011,Michael Joseph,Python,55.0
S1011,Michael Joseph,PHP,45.0
S1011,Michael Joseph,Attendance,65.0
S1011,Michael Joseph,GPA,1.3
S1012,Joseph Irungu,Data Mining,98.0
S1012,Joseph Irungu,AI,89.0
S1012,Joseph Irungu,Networking,87.0
S1012,Joseph Irungu,DBMS,65.0
S1012,Joseph Irungu,Python,76.0
S1012,Joseph Irungu,PHP,72.0
S1012,Joseph Irungu,Attendance,80.0
S1012,Joseph Irungu,GPA,3.0
S1013,Grace Kababura,Data Mining,80.0
S1013,Grace Kababura,AI,78.0
S1013,Grace Kababura,Networking,67.0
S1013,Grace Kababura,DBMS,75.0
S1013,Grace Kababura,Python,82.0
S1013,Grace Kababura,PHP,72.0
S1013,Grace Kababura,Attendance,65.0
S1013,Grace Kababura,GPA,2.7
S1014,Moses Maina,Data Mining,72.0
S1014,Moses Maina,AI,80.0
S1014,Moses Maina,Networking,98.0
S1014,Moses Maina,DBMS,75.0
S1014,Moses Maina,Python,57.0
S1014,Moses Maina,PHP,87.0
S1014,Moses Maina,Attendance,85.0
S1014,Moses Maina,GPA,3.0
S1015,Mary Muthoni,Data Mining,58.0
S1015,Mary Muthoni,AI,85.0
S1015,Mary Muthoni,Networking,76.0
S1015,Mary Muthoni,DBMS,56.0
S1015,Mary Muthoni,Python,81.0
S1015,Mary Muthoni,PHP,60.0
S1015,Mary Muthoni,Attendance,50.0
S1015,Mary Muthoni,GPA,2.0
S1016,Maxmillan Kababura,Data Mining,75.0
S1016,Maxmillan Kababura,AI,57.0
S1016,Maxmillan Kababura,Networking,85.0
S1016,Maxmillan Kababura,DBMS,75.0
S1016,Maxmillan Kababura,Python,60.0
S1016,Maxmillan Kababura,PHP,78.0
S1016,Maxmillan Kababura,Attendance,56.0
S1016,Maxmillan Kababura,GPA,2.0
S1017,Vanessa Mutheu,Data Mining,57.0
S1017,Vanessa Mutheu,AI,75.0
S1017,Vanessa Mutheu,Networking,56.0
S1017,Vanessa Mutheu,DBMS,87.0
S1017,Vanessa Mutheu,Python,76.0
S1017,Vanessa Mutheu,PHP,65.0
S1017,Vanessa Mutheu,Attendance,74.0
S1017,Vanessa Mutheu,GPA,2.1
S1018,Natasha Maina,Data Mining,88.0
S1018,Natasha Maina,AI,77.0
S1018,Natasha Maina,Networking,65.0
S1018,Natasha Maina,DBMS,55.0
S1018,Natasha Maina,Python,89.0
S1018,Natasha Maina,PHP,90.0
S1018,Natasha Maina,Attendance,60.0
S1018,Natasha Maina,GPA,3.1
S1000,Edith Wanjiru,,88.0
S1001,Grace Wanjiku,,86.0
S1003,Mary Maina,,87.0
S1004,Chantal Wanjiku,,75.0
S1005,Florence Wanjiru,,67.0
S1006,Maina Mellisa,,87.0
S1008,Rashmi Patel,,85.0
S1009,Emily Wanjiku,,97.0
S1011,Michael Joseph,,65.0
S1012,Joseph Irungu,,65.0
S1013,Grace Kababura,,75.0
S1014,Moses Maina,,75.0
S1015,Mary Muthoni,,56.0
S1016,Maxmillan Kababura,,75.0
S1017,Vanessa Mutheu,,87.0
S1018,Natasha Maina,,55.0
